# X    U     P    rho
0.245 0 404400 4.696
0.246 0 404400 4.696
0.247 0 404400 4.696
0.248 0 404400 4.696
0.249 0 404400 4.696
0.25 0 404400 4.696
0.251 0 404400 4.696
0.252 0 404400 4.696
0.253 0 404400 4.696
0.254 0 404400 4.696
0.255 0 404400 4.696
0.256 0 404400 4.696
0.257 0 404400 4.696
0.258 0 404400 4.696
0.259 0 404400 4.696
0.26 0 404400 4.696
0.261 0 404400 4.696
0.262 0 404400 4.696
0.263 0 404400 4.696
0.264 0 404400 4.696
0.265 0 404400 4.696
0.266 0 404400 4.696
0.267 0 404400 4.696
0.268 0 404400 4.696
0.269 0 404400 4.696
0.27 0 404400 4.696
0.271 0 404400 4.696
0.272 0 404400 4.696
0.273 0 404400 4.696
0.274 0 404400 4.696
0.275 0 404400 4.696
0.276 0 404400 4.696
0.277 0 404400 4.696
0.278 0 404400 4.696
0.279 0 404400 4.696
0.28 0 404400 4.696
0.281 0 404400 4.696
0.282 0 404400 4.696
0.283 0 404400 4.696
0.284 0 404400 4.696
0.285 0 404400 4.696
0.286 0 404400 4.696
0.287 0 404400 4.696
0.288 0 404400 4.696
0.289 0 404400 4.696
0.29 0 404400 4.696
0.291 0 404400 4.696
0.292 0 404400 4.696
0.293 0 404400 4.696
0.294 0 404400 4.696
0.295 0 404400 4.696
0.296 0 404400 4.696
0.297 0 404400 4.696
0.298 0 404400 4.696
0.299 0 404400 4.696
0.3 0 404400 4.696
0.301 0 404400 4.696
0.302 0 404400 4.696
0.303 0 404400 4.696
0.304 0 404400 4.696
0.305 0 404400 4.696
0.306 0 404400 4.696
0.307 0 404400 4.696
0.308 0 404400 4.696
0.309 0 404400 4.696
0.31 0 404400 4.696
0.311 0 404400 4.696
0.312 0 404400 4.696
0.313 0 404400 4.696
0.314 0 404400 4.696
0.315 0 404400 4.696
0.316 0 404400 4.696
0.317 0 404400 4.696
0.318 0 404400 4.696
0.319 0 404400 4.696
0.32 0 404400 4.696
0.321 0 404400 4.696
0.322 0 404400 4.696
0.323 0 404400 4.696
0.324 0 404400 4.696
0.325 0 404400 4.696
0.326 0 404400 4.696
0.327 0 404400 4.696
0.328 0 404400 4.696
0.329 0 404400 4.696
0.33 0 404400 4.696
0.331 0 404400 4.696
0.332 0 404400 4.696
0.333 0 404400 4.696
0.334 0 404400 4.696
0.335 0 404400 4.696
0.336 0 404400 4.696
0.337 0 404400 4.696
0.338 0 404400 4.696
0.339 0 404400 4.696
0.34 0 404400 4.696
0.341 0 404400 4.696
0.342 0 404400 4.696
0.343 0 404400 4.696
0.344 0 404400 4.696
0.345 0 404400 4.696
0.346 0 404400 4.696
0.347 0 404400 4.696
0.348 0 404400 4.696
0.349 0 404400 4.696
0.35 0 404400 4.696
0.351 0 404400 4.696
0.352 0 404400 4.696
0.353 0 404400 4.696
0.354 0 404400 4.696
0.355 0 404400 4.696
0.356 0 404400 4.696
0.357 0 404400 4.696
0.358 0 404400 4.696
0.359 0 404400 4.696
0.36 0 404400 4.696
0.361 0 404400 4.696
0.362 0 404400 4.696
0.363 0 404400 4.696
0.364 0 404400 4.696
0.365 0 404400 4.696
0.366 0 404400 4.696
0.367 0 404400 4.696
0.368 0 404400 4.696
0.369 0 404400 4.696
0.37 0 404400 4.696
0.371 0 404400 4.696
0.372 0 404400 4.696
0.373 0 404400 4.696
0.374 0 404400 4.696
0.375 0 404400 4.696
0.376 0 404400 4.696
0.377 0 404400 4.696
0.378 0 404400 4.696
0.379 0 404400 4.696
0.38 0 404400 4.696
0.381 0 404400 4.696
0.382 0 404400 4.696
0.383 0 404400 4.696
0.384 0 404400 4.696
0.385 0 404400 4.696
0.386 0 404400 4.696
0.387 0 404400 4.696
0.388 0 404400 4.696
0.389 0 404400 4.696
0.39 0 404400 4.696
0.391 0 404400 4.696
0.392 0 404400 4.696
0.393 0 404400 4.696
0.394 0 404400 4.696
0.395 0 404400 4.696
0.396 0 404400 4.696
0.397 0 404400 4.696
0.398 0 404400 4.696
0.399 0 404400 4.696
0.4 0 404400 4.696
0.401 0 404400 4.696
0.402 0 404400 4.696
0.403 0 404400 4.696
0.404 0 404400 4.696
0.405 0 404400 4.696
0.406 0 404400 4.696
0.407 0 404400 4.696
0.408 0 404400 4.696
0.409 0 404400 4.696
0.41 0 404400 4.696
0.411 0 404400 4.696
0.412 0 404400 4.696
0.413 0 404400 4.696
0.414 0 404400 4.696
0.415 0 404400 4.696
0.416 0 404400 4.696
0.417 0 404400 4.696
0.418 0 404400 4.696
0.419 0 404400 4.696
0.42 0 404400 4.696
0.421 0 404400 4.696
0.422 0 404400 4.696
0.423 0 404400 4.696
0.424 0 404400 4.696
0.425 0 404400 4.696
0.426 0 404400 4.696
0.427 0 404400 4.696
0.428 0 404400 4.696
